Κωδικός Μαθήματος,Σύνδεσμος Μαθήματος,Όνομα Μαθήματος,Επώνυμο Καθηγητή,Δευτέρα,Τρίτη,Τετάρτη,Πέμπτη,Παρασκευή
ΔΙΑΒΑΣΤΕ ΠΡΟΣΕΚΤΙΚΑ ΤΑ ΠΑΡΑΚΑΤΩ,,,,,,,,
Στους Κωδικούυς Μαθήματος γράφουμε ΗΥ στα ελληνικά με παύλα χωρίς κενό(-) και τον αριθμό του μαθήματος,,,,,,,,
Στο Όνομα Μαθήματος γράψτε το όνομα του μαθήματος όπως θέλετε,,,,,,,,
Στο Επώνυμο Καθηγητή γράψτε τα στοιχεία του όπως επιθυμείτε π.χ. όπως στο πρόγραμμα,,,,,,,,
ΗΥ-523,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=240,Εργαστηριακή Σχεδίαση Ψηφιακών Κυκλωμάτων με Εργαλεία Ηλεκτρονικού Αυτοματισμού,ΠΑΠΑΕΥΣΤΑΘΙΟΥ,,6-8 Α.125,,6-8 Α.125,
ΗΥ-533,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=135,Εισαγωγή στην Έρευνα σε Δίκτυα Υπολογιστών,ΔΗΜΗΤΡΟΠΟΥΛΟΣ,,2-4 Η.206,,2-4 Η.206,
ΗΥ-534,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=136,Αρχιτεκτονική Μεταγωγέων Πακέτων,ΧΡΥΣΟΣ,12-2 Η.206,,12-2 Η.206,,
ΗΥ-540,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=138,Προχωρημένα Θέματα Ανάπτυξης Γλωσσών Προγραμματισμού,ΣΑΒΒΙΔΗΣ,10-12 Η.208,,12-2 Η.208,,
ΗΥ-543,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=221,Συστήματα Λογισμικού και Τεχνολογίες για Εφαρμογές Μεγάλου Όγκου Δεδομένων,ΜΠΙΛΑΣ / ΚΟΖΑΝΙΤΗΣ,4-6 Η.206,,4-6 Η.206,,4-6 Η.206
ΗΥ-548,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=264,Αρχιτεκτονικές Λογισμικού για το Υπολογιστικό Νέφος,ΜΠΙΛΑΣ / ΧΑΖΑΠΗΣ,2-4 Η.206,,2-4 Η.206,,2-4 Η.206
ΗΥ-553,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=140,Διαδραστικά Γραφικά Υπολογιστών,ΠΑΠΑΓΙΑΝΝΑΚΗΣ,4-6 Α.125,,4-6 Α.125,,12-2 Α.125
ΗΥ-563,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=250,Προχωρημένα Θέματα Ανάκτησης Πληροφοριών,ΠΑΠΑΝΤΩΝΙΟΥ,2-4 Α.121,,2-4 Α.121,,2-4 Α.121
ΗΥ-565,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=224,Συστήματα Διαχείρισης Διεργασιών,ΖΕΓΚΙΝΗΣ,,,10-12 Η.206,10-12 Η.206,
ΗΥ-569,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=236,Συμπόρευση Ανθρώπου – Υπολογιστή,ΣΤΕΦΑΝΙΔΗΣ/ΛΕΩΝΙΔΗΣ,,6-8 Η.204,,6-8 Η.204,10-12 Η.208
ΗΥ-586,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=160,Κατανεμημένος Υπολογισμός,ΦΑΤΟΥΡΟΥ,10-12 Κ.214 ΕΡΓ,10-12 Κ.214 ΕΡΓ,,,
ΗΥ-587,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=161,Νευρωνικά Δίκτυα και Μάθηση Ιεραρχικών Αναπαραστάσεων,ΚΟΜΟΝΤΑΚΗΣ,4-6 Η.204,,4-6 Η.204,,
ΗΥ-588,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=235,Ανάλυση και Μοντελοποίηση Δικτύων του Εγκεφάλου,ΠΑΠΑΔΟΠΟΥΛΗ,6-8 Α.113,4-6 Η.204,,,4-6 Α.125
ΗΥ590.4,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=162,Σύγχρονα Θέματα Κλιμακώσιμων Συστημάτων Αποθήκευσης,ΜΑΓΚΟΥΤΗΣ,,12-2 Ε.313,6-8 Ε.313 (ΦΡΟΝΤ),,12-2 Ε.313
ΗΥ590.73,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=276,Seminar in Reproducibility in Bioinformatics,ΣΤΑΜΑΤΑΚΗΣ,2:30-4:30 10/2/2025 Ε.311,,,,
