Κατηγορία,Κωδικός Μαθήματος,Όνομα Μαθήματος,Σύνδεσμος Μαθήματος,ECTS,Μήνυμα Προαπαιτούμενων,Προαπαιτούμενα,Σύνδεσμοι Προαπαιτούμενων,,,,,,Προτεινόμενα,Σύνδεση Προτεινόμενων,,,,
Β3,ΗΥ-359,Διαδικτυοκεντρικός Προγραμματισμός,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=94,6,HY-252,HY-252,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=18,-,-,-,-,-,-,-,-,-,-,-
Β3,ΗΥ-446,Συστήματα Εκτέλεσης Δυναμικών Γλωσσών Προγραμματισμού,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=237,6,"ΗΥ-252, ΗΥ-345",ΗΥ-252,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=18,ΗΥ-345,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=23,-,-,-,-,-,-,-,-,-
Β4,ΗΥ-473,Αναγνώριση Προτύπων,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=108,6,"HY-217, HY-119",HY-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,HY-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=8,-,-,"HY-215, HY-370",HY-215,,HY-370,,-,-
Β4,ΗΥ-485,Επιστήμη Δεδομένων και Εφαρμογές,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=275,6,"ΗΥ-119, ΗΥ-150, ΗΥ-217",ΗΥ-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=8,ΗΥ-150,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=10,ΗΥ-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,-,-,-,-,-,-,-
Β4,ΗΥ-487,Εισαγωγή στην Τεχνητή Νοημοσύνη,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=114,6,"HY-240, HY-180",HY-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=17,HY-180,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=11,-,-,-,-,-,-,-,-,-
C1,ΗΥ-317,Εφαρμοσμένες Στοχαστικές Διαδικασίες,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=111,6,HY-217,HY-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,-,-,-,-,-,-,-,-,-,-,-
C1,ΗΥ-370,Ψηφιακή Επεξεργασία Σημάτων,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=80,6,HY-215,HY-215,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=14,-,-,-,-,HY-111,HY-111,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=5,-,-,-,-
C1,ΗΥ-474,Τεχνολογία Πολυμέσων,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=85,6,HY-215,HY-215,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=14,-,-,-,-,"HY-370, HY-217",HY-370,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=80,HY-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,-,-
C2,ΗΥ-371,Ψηφιακή Επεξεργασία Εικόνων,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=233,6,ΗΥ-119,ΗΥ-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=8,-,-,-,-,ΗΥ-110,ΗΥ-110,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=4,-,-,-,-
C2,ΗΥ-471,Ανάλυση Εικόνων,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=106,6,ΗΥ-371,ΗΥ-371,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=233,-,-,-,-,-,-,-,-,-,-,-
C2,ΗΥ-472,Υπολογιστική Όραση,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=107,6,ΗΥ-371,ΗΥ-371,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=233,-,-,-,-,ΗΥ-471,ΗΥ-471,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=106,-,-,-,-
C2,ΗΥ-475,Αυτόνομη Ρομποτική Πλοήγηση,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=109,6,"HY-217, HY-119",HY-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,HY-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=8,-,-,ΗΥ-471,ΗΥ-471,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=106,-,-,-,-
C3,ΗΥ-358,Γραφική,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=93,6,HY-240,HY-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=17,-,-,-,-,-,-,-,-,-,-,-
C3,ΗΥ-364,Εισαγωγή στην Αλληλεπίδραση Ανθρώπου-Υπολογιστή,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=229,6,ΗΥ-150,ΗΥ-150,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=10,-,-,-,-,-,-,-,-,-,-,-
C3,ΗΥ-454,Τεχνολογία Ανάπτυξης Έξυπνων Διεπαφών και Παιχνιδιών,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=278,6,ΗΥ-255,ΗΥ-255,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=19,-,-,-,-,ΗΥ-358,ΗΥ-358,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=93,-,-,-,-
C3,ΗΥ-469,Σύγχρονα Θέματα Αλληλεπίδρασης Ανθρώπου-Υπολογιστή,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=232,6,ΗΥ-364,ΗΥ-364,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=229,-,-,-,-,ΗΥ-359,ΗΥ-359,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=94,-,-,-,-
C4,ΗΥ-482,Αλγόριθμοι στη Βιοπληροφορική,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=117,6,"HY-380, HY-217, HY-119",HY-380,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=25,HY-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,HY-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=8,-,-,-,-,-,-,-
